company,market,country,city,area,website,linkedin,instagram,email,whatsapp,decision_maker,role,source_url,pain_signal,notes,stage,last_contacted,language,claude_score,claude_priority,first_message,follow_up_1,follow_up_2,duplicate_reason
fäm Properties,dubai,UAE,Dubai,"Dubai – 15+ oficinas, todos los hubs",https://famproperties.com,https://linkedin.com/company/fam-properties,@famproperties,info@famproperties.com,+97142483600,Firas Al Msaddi (CEO),Brokerage residencial + inversión,https://famproperties.com,Coordinar 250 agentes en valuaciones consistentes con datos verificados; capturar leads en múltiples idiomas desde su web.,"Claude score 100; Tier A — contactar ahora. La agencia más grande de Dubai por agentes (~250+). Tiene sub-páginas dedicadas a brokers que hablan ruso, francés, español. Cliente ideal para widget multilingüe. Tamaño grande: la decisión puede pasar por COO/CMO antes que founder. Probar también con Head of Marketing.",researched,,fr,100,Tier A — contactar ahora,"Hi {name}, quick one. I saw fäm Properties is active in Dubai Marina, Downtown y JVC.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
Banke International Properties,dubai,UAE,Dubai,"Dubai – Emarat Atrium, Sheikh Zayed Rd",https://banke.ae,https://linkedin.com/company/bankeinternational,@bankeinternational,enquiries@banke.ae,800-BANKE (800-22653),Porush Jhunjhunwala (Founder & CEO),"Boutique brokerage, residencial + comercial",https://banke.ae,Capturar leads inversores indios y del Golfo desde su web; valuación rápida para el equipo de 400+.,Claude score 100; Tier A — contactar ahora. Top 50 brokerage por FIABCI Emirates. ~455 empleados. Presencia India + UAE + UK + Qatar. Founder accesible en LinkedIn; pitch directo.,researched,,en,100,Tier A — contactar ahora,"Hi {name}, quick one. I saw Banke International Properties is active in Business Bay, Al Furjan y Dubai Creek Harbour.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
Dubai Immo / Elysee Vendome Real Estate LLC,dubai,UAE,Dubai,"Dubai – Tower Plaza Hotel, Trade Center 1",https://dubai-immo.com,https://linkedin.com/company/elysee-vendome-real-estate,@dubai_immo,contact@dubai-immo.com,+971563672667,Guillaume Giroux (Founder),"Brokerage 100% francófona, off-plan + secundario",https://dubai-immo.com,Posicionarse como referente francófono con tasación AI usando datos verificados; matching cliente perfecto para FonatProp France + Dubai.,"Claude score 100; Tier A — contactar ahora. Líder francófona en Dubai (>3500 inversores, 150+ developers, RERA 24853). 30+ empleados franceses. Premio MENAA. Excelente match: cubren Francia + Dubai. Pitch por ambos productos.",researched,,fr,100,Tier A — contactar ahora,"Bonjour {name}, j'ai vu que Dubai Immo / Elysee Vendome Real Estate LLC est très actif sur Palm Jumeirah, Downtown et Dubai Marina.

Nous avons construit FonatProp pour les agences à Dubaï : valorisation assistée par IA + un widget de capture sur le site web qui transforme les visiteurs en leads qualifiés. Le flux est basé sur des transactions Dubai vérifiées, donc vos brokers ne dépendent plus uniquement de l'opinion.

Une démo Zoom de 15 minutes cette semaine pourrait être utile ?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
DRN Dubai Real Estate,dubai,UAE,Dubai,"Dubai – Bay Square, Building 11, Office 506, Business Bay",https://dubairealestate.net,https://linkedin.com/company/drn-real-estate,@drndubai,info@dubairealestate.net,+971585587880,Nicolas Debains (Founder),"Brokerage francófona, off-plan + secundario + gestión locativa",https://dubairealestate.net,Diferenciarse en velocidad y precisión de tasación; capturar leads desde la web francés.,"Claude score 100; Tier A — contactar ahora. Activa desde 2017. Foco en inversores franceses con guía completa de A a Z. Match alto, founder accesible.",researched,,fr,100,Tier A — contactar ahora,"Bonjour {name}, j'ai vu que DRN Dubai Real Estate est très actif sur Business Bay, Dubai Marina et Downtown.

Nous avons construit FonatProp pour les agences à Dubaï : valorisation assistée par IA + un widget de capture sur le site web qui transforme les visiteurs en leads qualifiés. Le flux est basé sur des transactions Dubai vérifiées, donc vos brokers ne dépendent plus uniquement de l'opinion.

Une démo Zoom de 15 minutes cette semaine pourrait être utile ?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
Provident Estate,dubai,UAE,Dubai,"Dubai – Aspect Tower, Business Bay",https://providentestate.com,https://linkedin.com/company/providentestate,@providentestate,,,Loai Al Fakir (Co-Founder) – verificar nombre,Brokerage residencial + off-plan + property mgmt,https://providentestate.com,"Capturar leads de su tráfico, dar a los agentes una herramienta de valuación rápida y confiable.",Claude score 85; Tier A — contactar ahora. 400+ agentes. Cobertura en todos los hubs. Tráfico web alto. Tamaño grande – probar con Head of Marketing primero.,researched,,en,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw Provident Estate is active in Dubai Marina, Business Bay y Downtown.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
Knight Frank Dubai,dubai,UAE,Dubai,Dubai – DIFC,https://knightfrank.ae,https://linkedin.com/company/knight-frank,@knightfrankuae,,,Andrew Cummings (Partner Head of Residential),"Consultoría real estate global, prime residential",https://knightfrank.ae,Diferenciarse en speed-to-valuation versus boutique locales; capturar leads ultra-prime con widget premium.,"Claude score 85; Tier A — contactar ahora. Marca global, exclusivo de mansiones $200M+. Audiencia HNW. Demo de FonatProp como capa de evidencia para sus valuaciones formales. Decisión puede ser global desde London HQ; pitch local con foco en speed.",researched,,fr,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw Knight Frank Dubai is active in Palm Jumeirah, Emirates Hills y DIFC.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
Henry Wiltshire International,dubai,UAE,Dubai,Dubai + Abu Dhabi,https://henrywiltshire.ae,https://linkedin.com/company/henry-wiltshire-international,@henrywiltshire,,,Andrew Covill (Owner & Director Abu Dhabi),"Boutique residencial UK-roots, alianza Knight Frank",https://henrywiltshire.ae,Una herramienta de valuación AI les ayuda a competir en speed con grandes consultoras.,Claude score 85; Tier A — contactar ahora. UK-origin con alianza estratégica Knight Frank en septiembre 2025. Foco prime residential. Su core es Abu Dhabi pero tienen Dubai listings; verificar peso Dubai.,researched,,en,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw Henry Wiltshire International is active in Saadiyat (AD) y Downtown Dubai.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
Dacha Real Estate,dubai,UAE,Dubai,Dubai – Sheikh Zayed Rd,https://dacha.ae,https://linkedin.com/company/dacha-real-estate,@dacharealestate,,,"Slava Shidlovskiy (top broker, finalista Bayut Awards 2023)",Brokerage residencial + commercial + sales y rentals,https://dacha.ae,Atender clientes ruso-parlantes con valuación rápida y widget bilingüe.,Claude score 85; Tier A — contactar ahora. Marca con DNA ruso pero opera en inglés. Cobertura en hubs prime. Demo en ruso es plus.,researched,,en,85,Tier A — contactar ahora,"Привет {name}, быстрый вопрос. Заметил, что Dacha Real Estate активно работает в Palm Jumeirah, Dubai Marina y Downtown.

We built FonatProp for Dubai agencies: AI-assisted valuation + a website widget that captures owners before they leave the site. Backed by verified Dubai transaction evidence, so your brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful? (Russian-speaking demo available.)","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
DIA Real Estate (Dubai Invest Agency),dubai,UAE,Dubai,Dubai,https://diaimmo.com,https://linkedin.com – buscar,@dia_realestate,,,"Amaury & Anass (co-founders, ~30-32 años)","Brokerage francófona, formula 'turnkey' inversores",https://diaimmo.com,Diferenciarse contra Dubai Immo con stack tech (widget + valuation AI).,"Claude score 85; Tier A — contactar ahora. Founders jóvenes franceses, propietarios e inversores en Dubai desde 2018. Tono moderno. Founders de tu edad: pitch directo, founder-to-founder.",researched,,fr,85,Tier A — contactar ahora,"Bonjour {name}, j'ai vu que DIA Real Estate (Dubai Invest Agency) est très actif sur Dubai Marina, Downtown et Business Bay.

Nous avons construit FonatProp pour les agences à Dubaï : valorisation assistée par IA + un widget de capture sur le site web qui transforme les visiteurs en leads qualifiés. Le flux est basé sur des transactions Dubai vérifiées, donc vos brokers ne dépendent plus uniquement de l'opinion.

Une démo Zoom de 15 minutes cette semaine pourrait être utile ?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
Jenna Estates,dubai,UAE,Dubai,Dubai,https://jennaestates.com,https://linkedin.com – buscar,@jennaestates,,,Founder (entrepreneur con ~13 años en Dubai – verificar nombre),Boutique francófona familiar,https://jennaestates.com,"Una capa de IA + widget les diferencia frente a las grandes francesas (Dubai Immo, DRN).",Claude score 85; Tier A — contactar ahora. Marca pequeña con foco en confianza y relación largo plazo. Equipo de inversores propios. Boutique pequeña; pitch a founder directo.,researched,,fr,85,Tier A — contactar ahora,"Bonjour {name}, j'ai vu que Jenna Estates est très actif sur Dubai Marina, Business Bay et Palm Jumeirah.

Nous avons construit FonatProp pour les agences à Dubaï : valorisation assistée par IA + un widget de capture sur le site web qui transforme les visiteurs en leads qualifiés. Le flux est basé sur des transactions Dubai vérifiées, donc vos brokers ne dépendent plus uniquement de l'opinion.

Une démo Zoom de 15 minutes cette semaine pourrait être utile ?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",
