company,market,country,city,area,website,linkedin,instagram,email,whatsapp,decision_maker,role,source_url,pain_signal,notes,stage,last_contacted,language,claude_score,claude_priority,first_message,follow_up_1,follow_up_2,duplicate_reason
haus & haus,dubai,UAE,Dubai,Dubai – Gold & Diamond Park,https://hausandhaus.com,https://linkedin.com/company/haus-&-haus,@hausandhaus,info@hausandhaus.com,+97143025800,James Perry / Luke Remington / Simon Baker (founders),Brokerage residencial + holiday rental + commercial,https://hausandhaus.com,Defender el ranking en Property Finder/Bayut; el widget les ayuda a no perder leads inbound desde su propio sitio.,"Claude score 100; Tier A — contactar ahora. 360+ agentes, fundada en 2013 por brokers UK. Estrellas en BBC Three 'Dubai Hustle'. Marca premium con valor por velocidad. Foco fuerte en lujo. Hablar en términos de 'time to lead' y 'consistency en valuations'.",researched,,en,100,Tier A — contactar ahora,"Hi {name}, quick one. I saw haus & haus is active in Dubai Marina, Palm Jumeirah y Business Bay.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_email
Allsopp & Allsopp,dubai,UAE,Dubai,"Dubai – Motor City HQ, Business Bay, JGE",https://allsoppandallsopp.com,https://linkedin.com/company/allsopp-&-allsopp,@allsoppandallsopp,,,Lewis Allsopp (Chairman) / Carl Allsopp (CEO),"Brokerage residencial UK-style, sales + lettings",https://allsoppandallsopp.com,Estandarizar la valoración entre 200+ agentes; reducir el tiempo de respuesta a leads que llegan por web.,"Claude score 85; Tier A — contactar ahora. Modelo UK ISO-certified, RERA 1815, 7 oficinas. Tiene podcast propio y produce contenido. Mentalidad pro-tech. Empresa muy grande, ya tienen procesos. Vender FonatProp como complemento (capa de evidencia), no como reemplazo de su CRM.",researched,,en,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw Allsopp & Allsopp is active in Dubai Marina y Downtown.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
Betterhomes,dubai,UAE,Dubai,Dubai – Múltiples oficinas,https://bhomes.com,https://linkedin.com/company/betterhomes,@betterhomesdubai,,,Richard Waind (Group MD) – verificar nombre,Brokerage residencial + comercial + property mgmt,https://bhomes.com,Tienen muchísimo tráfico orgánico que no se convierte. Ideal para widget de tasación.,"Claude score 85; Tier A — contactar ahora. Una de las marcas más antiguas de Dubai, alto tráfico web propio (mucho potencial de capturar). Empresa muy estructurada; primera puerta es marketing/ops, no fundadores.",researched,,en,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw Betterhomes is active in Dubai Marina, Downtown y Palm Jumeirah.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
Driven Properties,dubai,UAE,Dubai,"Dubai – Boulevard Plaza Tower 2, Downtown",https://drivenproperties.com,https://linkedin.com/company/driven-properties,@drivenproperties,,,Abdullah Alajaji (Founder & CEO),Brokerage residencial + investment + off-plan,https://drivenproperties.com,Necesitan diferenciarse de portales en velocidad de respuesta y calidad de tasación; el widget vale como diferenciador en su web.,"Claude score 85; Tier A — contactar ahora. Cobertura premium en Marina, Palm, Hills, Creek Harbour. Reciben muchos leads inbound de inversores extranjeros. Ya tienen mucho contenido propio; vender como capa de inteligencia, no como CRM.",researched,,en,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw Driven Properties is active in Dubai Marina, Palm Jumeirah y Dubai Hills.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
Engel & Völkers Dubai,dubai,UAE,Dubai,Dubai – Sheikh Zayed Road,https://engelvoelkers.com/en-ae/dubai,https://linkedin.com/company/engel&voelkers-dubai,@engelvoelkers_dubai,dubai@engelvoelkers.com,,MD oficina Dubai – verificar nombre actual,"Lujo internacional, sales premium",https://engelvoelkers.com/en-ae/dubai,Mantener consistencia de marca global con datos locales (transacciones reales en Palm/Emirates Hills).,Claude score 85; Tier A — contactar ahora. Marca alemana global de lujo con licencia 723355 / ORN 16081. Audiencia HNW. Widget de tasación con evidencia encaja con su tono premium. Decisión puede pasar por Hamburg HQ. Mejor hablar primero con la oficina local.,researched,,fr,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw Engel & Völkers Dubai is active in Palm Jumeirah, Emirates Hills y Downtown.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_email
Metropolitan Premium Properties,dubai,UAE,Dubai,Dubai – Múltiples oficinas,https://metropolitan.realestate,https://linkedin.com/company/metropolitan-premium-properties,@metropolitan.realestate,,,Evgeny Ratskevich (CEO) – verificar nombre,Brokerage residencial luxury + investor advisory,https://metropolitan.realestate,Atender 5 idiomas en valuaciones de forma consistente; widget multi-idioma encaja perfecto.,"Claude score 85; Tier A — contactar ahora. Sitio en 5 idiomas, raíces rusas, parte de Metropolitan Group con sede legal y mortgage in-house. ~117 agentes. Audiencia ruso-parlante muy fuerte; demo en ruso suma puntos.",researched,,fr,85,Tier A — contactar ahora,"Привет {name}, быстрый вопрос. Заметил, что Metropolitan Premium Properties активно работает в Dubai Marina, Palm Jumeirah y Business Bay.

We built FonatProp for Dubai agencies: AI-assisted valuation + a website widget that captures owners before they leave the site. Backed by verified Dubai transaction evidence, so your brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful? (Russian-speaking demo available.)","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
McCone Properties,dubai,UAE,Dubai,Dubai – Marina HQ,https://mcconeproperties.com,https://linkedin.com/company/mcconeproperties,@mcconeproperties,,,Gregory Charbein (founder),Brokerage residencial premium,https://mcconeproperties.com,Velocidad y consistencia en tasación; capturar el visitante de Marina/Hills desde la web.,"Claude score 85; Tier A — contactar ahora. Cobertura en Downtown, Marina, Hills, Creek Harbour, Palm, Business Bay, JVC. Marca con awards Bayut. Mid-size; founder accesible.",researched,,en,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw McCone Properties is active in Dubai Marina y Dubai Hills Estate.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
AX Capital,dubai,UAE,Dubai,Dubai – Boulevard Plaza Tower 1,https://axcapital.ae,https://linkedin.com/company/axcapital-uae,@axcapitaluae,careers@axcapital.ae,+971529163904,verificar director comercial,Brokerage residencial + commercial + inversión,https://axcapital.ae,Garantizar consistencia de tasación entre 30 idiomas; capturar leads internacionales desde la web.,Claude score 85; Tier A — contactar ahora. Equipo declara 30+ idiomas. Cobertura en todos los hubs. Marca con podcast y blog propio (mentalidad media). Mucha rotación; primer pitch al CMO/Head of Sales.,researched,,en,85,Tier A — contactar ahora,"Привет {name}, быстрый вопрос. Заметил, что AX Capital активно работает в Dubai Marina, Palm Jumeirah y Business Bay.

We built FonatProp for Dubai agencies: AI-assisted valuation + a website widget that captures owners before they leave the site. Backed by verified Dubai transaction evidence, so your brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful? (Russian-speaking demo available.)","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
D&B Properties,dubai,UAE,Dubai,"Dubai – Onyx Tower 2, The Greens",https://dandbdubai.com,https://linkedin.com/company/db-properties,@db_properties,,,Walaa Eldin Refaat (founder) – verificar,Brokerage residencial + off-plan,https://dandbdubai.com,Capturar leads en hubs residenciales de gama media-alta.,"Claude score 85; Tier A — contactar ahora. Cerca de 10 años activa, listada en top 11 Dubai por Kredium. Mid-size: founder accesible.",researched,,en,85,Tier A — contactar ahora,"Hi {name}, quick one. I saw D&B Properties is active in Dubai Marina, Downtown y JVC.

We built FonatProp for Dubai agencies: AI-assisted valuation plus a website widget that captures owners before they leave the site. The workflow is backed by verified Dubai transaction evidence, so brokers do not rely only on opinion.

Would a 15-minute Zoom this week be useful?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
Espace Real Estate,dubai,UAE,Dubai,Dubai – The Onyx Tower 2,https://espace.ae,https://linkedin.com/company/espacedubai,@espacedubai,,,John Lyons (MD) – verificar,Brokerage residencial multilingüe,https://espace.ae,Atender clientes francófonos con valuación rápida; widget en francés.,"Claude score 85; Tier A — contactar ahora. Marca con presencia francófona dentro del equipo. Cobertura en hubs prime. Si tiene equipo francés interno, vender FonatProp France + Dubai como combo.",researched,,fr,85,Tier A — contactar ahora,"Bonjour {name}, j'ai vu que Espace Real Estate est très actif sur Dubai Marina, Downtown et Palm Jumeirah.

Nous avons construit FonatProp pour les agences à Dubaï : valorisation assistée par IA + un widget de capture sur le site web qui transforme les visiteurs en leads qualifiés. Le flux est basé sur des transactions Dubai vérifiées, donc vos brokers ne dépendent plus uniquement de l'opinion.

Une démo Zoom de 15 minutes cette semaine pourrait être utile ?","Just checking if this is relevant.

The simple idea: faster AI valuation for your team, and a premium website widget that turns valuation visitors into qualified leads.

Worth a quick look?","Last note from me.

If valuation speed or website lead conversion is not a priority right now, no problem. If it is, I can show the Dubai workflow in 15 minutes.",duplicate_company
