source,agency_id,agency_name,agency_slug,agency_address,agency_location,public_profile_hint,agents_seen,verified_agents,superagents_seen,active_properties_proxy,sale_properties_proxy,rent_properties_proxy,commercial_properties_proxy,languages,areas,mobile_whatsapp_samples,agent_email_samples,lead_score,priority,pain_signal,recommended_channel
propertyfinder,847,Driven Properties,driven-properties-948,"Office 101, Building Emaar Square - Building 3, Downtown Dubai, Sheikh Mohammed bin Rashid Blvd, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/driven-properties-948,18,18,18,418,279,139,0,Arabic; English; French; German; Gujarati; Hindi; Persian/Farsi; Russian; Spanish; Urdu; Uzbek,Al Barari; Al Jaddaf; Al Satwa; Al Wasl; Business Bay; City Walk; DIFC; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Land; Dubai Marina; Dubai Media City; Jebel Ali,+971569988418,moustafa.meles@drivenproperties.com; nahid@drivenproperties.com; mahmoud.yossif@drivenproperties.com; elsheikh@drivenproperties.com; jeffrey@drivenproperties.com; aram@drivenproperties.com; narcis@drivenproperties.com; tamara@drivenproperties.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,3640,Luxfolio Real Estate Brokers LLC,luxfolio-real-estate-brokers-llc-3766,"Office Office G24, Building Building 5, Gold and Diamond Park, Al Quoz, Building 5, Gold and Diamond Park, Dubai, PO Box 0",Dubai,https://www.propertyfinder.ae/en/broker/luxfolio-real-estate-brokers-llc-3766,16,16,16,316,286,30,0,English; Serbian,Bluewaters; Business Bay; Damac Lagoons; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Design District; Dubai Harbour; Dubai Hills Estate; Dubai Land; Dubai Marina; Dubai South (Dubai World Central); Jumeirah Beach Residence; Jumeirah Golf Estates; Jumeirah Lake Towers,+971585697500; +971582194777; +971585140497; +971585148299; +971585359966; +971585686890; +971585347686,joshua.r@luxfoliorealestate.ae; lewis@luxfoliorealestate.ae; elliot.b@luxfoliorealestate.ae; callum.d@luxfoliorealestate.ae; harry.p@luxfoliorealestate.ae; george@luxfoliorealestate.ae; bobby@luxfoliorealestate.ae,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,5062,Strada,strada-5188,"Office 201, Building Park Heights Sqaure 2, Dubai Hills Estate, DH, Dubai, PO Box 0",Dubai,https://www.propertyfinder.ae/en/broker/strada-5188,13,13,13,215,146,69,0,English,Arabian Ranches; Arjan; Business Bay; City Walk; DAMAC Hills; Damac Lagoons; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Harbour; Dubai Hills Estate; Dubai Land; Dubai Marina; Dubai Sports City; Jumeirah Golf Estates,+971585641099; +971585107066; +971585712937; +971585941051; +971582961407; +971585379225; +971585730916; +971585588426,harry.r@stradauae.com; lorenzo@stradauae.com; chloe.c@stradauae.com; aidan@stradauae.com; jackson@stradauae.com; nath@stradauae.com; carly@stradauae.com; ted@stradauae.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,817,Metropolitan Premium Properties,metropolitan-premium-properties-918,"Office Office 1806, Building Business Bay, Business Bay, AL MANARA TOWER, Dubai, PO Box 0",Dubai,https://www.propertyfinder.ae/en/broker/metropolitan-premium-properties-918,27,27,27,612,500,101,11,Arabic; English; French; German; Gujarati; Hindi; Korean; Persian/Farsi; Portuguese; Russian; Spanish; Turkish,Al Barari; Al Jaddaf; Al Wasl; Arjan; Bluewaters; Business Bay; City Walk; Damac Hills 2; Damac Lagoons; Downtown Dubai; Dubai Harbour; Dubai Hills Estate; Dubai Investment Park (DIP); Dubai Land,+971522222867,amy.eunmi.lee@mpd.ae; tiziano.cicchi@mpd.ae; sarfaraz.lakhani@mpd.ae; vladimir@mpd.ae; bekzod@mpd.ae; ramziya.otaeva@mpd.ae; saidi@mpd.ae; rasha.ibrahim@mpd.ae,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,671,Nationwide Middle East Properties LLC,nationwide-middle-east-properties-llc-772,"Office 1701, Building Das Tower - Corniche Rd - Abu Dhabi, Corniche Road, Corniche Rd, Abu Dhabi,",Abu Dhabi,https://www.propertyfinder.ae/en/broker/nationwide-middle-east-properties-llc-772,28,28,27,250,250,0,0,Arabic; English; French; Mandarin; Portuguese; Romanian; Spanish; Turkish; Uzbek,Al Ghadeer; Al Raha Beach; Al Raha Gardens; Al Reef; Al Reem Island; Al Shamkha; Khalifa City; Masdar City; Mohamed Bin Zayed City; Saadiyat Island; Yas Island,+971509138969,johnson-sengnou@nwmea.com; mo.hassoneh@nwmea.com; naima.alqudsi@nwmea.me; yana@nwmea.me; khaled.abdelkader@nwmea.com; deena@nwmea.me; haitham.mohyeldin@nwmea.com; victoria@nwmea.me,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,10254,TIBA.COM REAL ESTATE,tiba-com-real-estate-10380,"Office 01, Building Tiba Building, Al Rawda, al madina ST, Ajman,",Ajman,https://www.propertyfinder.ae/en/broker/tiba-com-real-estate-10380,6,6,5,414,339,6,69,Arabic; English; French,Ajman Downtown; Al Alia; Al Jurf Industrial; Al Mowaihat; Al Rashidiya; Al Yasmeen; Al Zahya; Sharjah Sustainable City,+971555020174; +971586813037; +971589096719; +971529985865; +971527377496; +971522150718,ahmed.maloul2@gmail.com; mhmoudelmalol@gmail.com; tibarealestateuae@gmail.com; moner.tiba@gmail.com; emanmostafa.tiba.com@gmail.com; ahmedelgherou.tiba@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,533,Dacha Real Estate,dacha-real-estate-624,"Office 2404, Building Marina Plaza, Dubai Marina, Al Marsa Street, Dubai, PO Box 171418",Dubai,https://www.propertyfinder.ae/en/broker/dacha-real-estate-624,17,17,17,353,179,168,6,Arabic; English; French; German; Italian; Persian/Farsi; Polish; Portuguese; Russian; Spanish; Turkish,Al Barari; Al Furjan; Al Warsan; Arabian Ranches 2; Arjan; Bluewaters; Business Bay; Damac Lagoons; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Harbour; Dubai Hills Estate; Dubai Investment Park (DIP); Dubai Land,+971547691908; +971585707732; +971527360991; +971501635303; +971585759120; +971585306655; +971563908940; +971525614047,ayda@dacha.ae; rikki@dacha.ae; alan@dacha.ae; slava@dacha-re.com; matthew@dacha.ae; jorge@dacha.ae; kerry@dacha-re.com; arian@dacha.ae,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,4302,Elite Property Brokerage,elite-property-brokerage-4428,"Office 613, Building Onyx Tower 1, Barsha Heights (Tecom), Greens, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/elite-property-brokerage-4428,10,10,10,329,233,94,2,Bahasa Melayu; English; Latvian; Russian; Spanish,Al Wasl; Arabian Ranches 3; Business Bay; DAMAC Hills; DIFC; Downtown Dubai; Dubai Design District; Dubai Harbour; Dubai Hills Estate; Dubai Investment Park (DIP); Dubai Marina; Jumeirah; Jumeirah Golf Estates; Jumeirah Village Triangle,+971565055043; +971585238808; +971585998161; +971585952205; +971585932787; +971525709597; +971585794280; +971524065513,jake@elitepropertydxb.com; dana@elitepropertydxb.com; info@elitepropertydxb.com; ola@elitepropertydxb.com; henry@elitepropertydxb.com; mark@elitepropertydxb.com; arran@elitepropertydxb.com; diana@elitepropertydxb.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,724,Union Square House Real Estate,union-square-house-real-estate-825,"Office 202, Building Building 6, Bay Square, Business Bay, building 6, Dubai,",Dubai,https://www.propertyfinder.ae/en/broker/union-square-house-real-estate-825,11,11,11,284,150,107,27,Bengali; English; Gujarati; Hindi; Punjabi; Tamil; Urdu,Al Jaddaf; Arabian Ranches 3; Barsha Heights (Tecom); Bluewaters; Business Bay; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Land; Dubai South (Dubai World Central); Jebel Ali; Jumeirah Park; Jumeirah Village Circle; Maritime City,+971558840465; +971558790033; +971542114128; +971557158502; +971506913424; +971542238000; +971551124756; +971559996968,manoj@ushre.com; hitesh@ushre.com; kunal.k@ushre.com; ritu@ushre.com; akash.gambhir@ushre.com; Chirag@ushre.com; ifthihan@ushre.com; akash@ushre.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
propertyfinder,12720,AL MARENA REAL ESTATE L.L.C,al-marena-real-estate-l-l-c-12849,"Office 9 & 10 Shops, Building Hassan Building, Al Rawda, Al Rawda, Ajman, PO Box -",Ajman,https://www.propertyfinder.ae/en/broker/al-marena-real-estate-l-l-c-12849,8,7,7,600,593,7,0,Arabic; English,Al Alia; Al Mowaihat; Al Yasmeen; Al Zahya; Al Zorah,+971527040129; +971525517767; +971525579459; +971545429049; +971528190823; +971527019037; +971581289762; +971581421276,almarenarealestate0@gmail.com; abdelrhmanalnwayse@gmail.com; almarinarealestate607@gmail.com; yonesalnwayse527@gmail.com; relmarena@gmail.com; elmarenarealestate@gmail.com; marenarealestate888@gmail.com; mawlanaelmarena@gmail.com,100,high,"active listings, broker valuation consistency, seller lead capture",email + manual WhatsApp
