"company","market","country","city","area","website","linkedin","instagram","email","whatsapp","decision_maker","role","source_url","pain_signal","notes","stage","last_contacted","language"
"Allsopp and Allsopp","dubai","UAE","Dubai","Dubai Marina / Jumeirah Golf Estates","https://www.allsoppandallsopp.com","","","info@allsoppandallsopp.com","","Management team","Managing Director","https://www.allsoppandallsopp.com/privacy-notice","large broker team, valuations, seller leads, active Dubai listings","Strong first-wave target. Use email first, then LinkedIn or website form.","contacted","2026-05-05","en"
"haus and haus","dubai","UAE","Dubai","Dubai Marina / Emirates Living","https://www.hausandhaus.com","","","info@hausandhaus.com","","Management team","Managing Director","https://www.hausandhaus.com/resources/settling-in-dubai-guide?pdf=1","premium brokerage, owner leads, valuation workflow","Good fit for premium design angle and broker productivity.","contacted","2026-05-05","en"
"Betterhomes","dubai","UAE","Dubai","Dubai wide","https://www.bhomes.com","","","customercare@bhomes.com","+971600522233","Customer care team","Agency management","https://www.bhomes.com/en/contact-us","large agency, website traffic, seller lead capture","Official contact page lists email and WhatsApp. Use email first; WhatsApp only for small manual follow-up.","contacted","2026-05-06","en"
"fam Properties","dubai","UAE","Dubai","Downtown Dubai / Business Bay","https://famproperties.com","","","qa@famproperties.com","","Sales management","Agency management","https://famproperties.com/contact-dubai-real-estate-agency","large brokerage, high website traffic, valuation and lead conversion","Official contact page lists branch emails and valuation links. Strong target but likely needs a sharp enterprise angle.","contacted","2026-05-06","en"
"Driven Properties","dubai","UAE","Dubai","Business Bay / Downtown Dubai","https://www.drivenproperties.com","","","","","Management team","Managing Director","https://www.drivenproperties.com/contact-us","premium listings, landlord/seller acquisition, valuation speed","Position as premium AI valuation plus lead capture. Duplicate branch/brand already contacted; excluded from cold email.","do_not_contact","","en"
"D and B Properties","dubai","UAE","Dubai","Business Bay / Dubai Marina","https://dandbdubai.com","","","info@dandbdubai.com","","Management team","Managing Director","https://dandbdubai.com/contact-us","broker productivity, owner lead capture, active listings","Use Dubai transaction evidence and widget demo.","contacted","2026-05-05","en"
"AX Capital","dubai","UAE","Dubai","Dubai Marina / Palm Jumeirah","https://www.axcapital.ae","","","info@axcapital.ae","","Management team","Managing Director","https://www.axcapital.ae/contacts","luxury listings, international clients, valuation trust","Premium visual product could resonate.","contacted","2026-05-05","en"
"Metropolitan Premium Properties","dubai","UAE","Dubai","Downtown Dubai / Palm Jumeirah","https://metropolitan.realestate","","","info@mpd.ae","","Management team","Managing Director","https://metropolitan.realestate/contact-us/","large agency, luxury buyers, owner lead capture","Mention broker-controlled AI workflow, not exact valuation.","contacted","2026-05-05","en"
"White and Co Real Estate","dubai","UAE","Dubai","Dubai Marina / Dubai Hills","https://whiteandcogroup.com","","","info@whiteandcogroup.com","+97148762333","Management team","Managing Director","https://whiteandcogroup.com/contact/general-enquiry/","active brokers, social presence, valuation and website conversion","Official page lists email and WhatsApp. Good WhatsApp or Instagram style target after email.","contacted","2026-05-05","en"
"McCone Properties","dubai","UAE","Dubai","Dubai Marina / Palm Jumeirah","https://www.mcconeproperties.com","","","info@mcconeproperties.com","","Management team","Managing Director","https://www.mcconeproperties.com/contact/","boutique premium agency, owner valuations, active listings","Strong fit for short personalized founder-style outreach.","contacted","2026-05-05","en"
"Treo Homes","dubai","UAE","Dubai","Dubai Hills / Springs / Arabian Ranches","https://www.treo-homes.com","","","info@treo-homes.com","","Management team","Managing Director","https://www.treo-homes.com/contact-us/","villa communities, seller valuations, broker workflow","Position as owner appointment generator.","contacted","2026-05-05","en"
"Espace Real Estate","dubai","UAE","Dubai","Dubai Marina / Emirates Living","https://www.espace.ae","","","info@espace.ae","+97143069999","Management team","Managing Director","https://www.espace.ae/contact","established brokerage, valuation forms, seller leads","Official page lists email, phone, WhatsApp and valuation links. Good target for widget plus AI evidence deck.","contacted","2026-05-05","en"
"Provident Real Estate","dubai","UAE","Dubai","Dubai Marina / Business Bay","https://www.providentestate.com","","","info@providentestate.com","","Management team","Managing Director","https://www.providentestate.com/contact/","large agency, seller lead acquisition, valuation workflow","Use email first, website contact second.","contacted","2026-05-05","en"
"Exclusive Links","dubai","UAE","Dubai","Dubai Marina / JBR","https://www.exclusive-links.com","","","info@exclusive-links.com","","Management team","Managing Director","https://www.exclusive-links.com/contact-us/","seller leads, rentals and sales, Dubai Marina presence","Good fit for website widget capture.","contacted","2026-05-05","en"
"Springfield Properties","dubai","UAE","Dubai","Jumeirah Village Circle / Business Bay","https://springfield-re.com","","","info@springfield-re.com","","Management team","Managing Director","https://springfield-re.com/public/en/contact","active listings, agent teams, valuation and lead conversion","Likely responsive to email plus warm LinkedIn follow-up.","contacted","2026-05-05","en"
"Paragon Properties","dubai","UAE","Dubai","Dubai Hills / JVC","https://www.paragonproperties.ae","","","info@paragonproperties.ae","","Management team","Managing Director","https://www.paragonproperties.ae/contact","premium brokerage, owner leads, agent productivity","Boutique premium angle likely strong.","contacted","2026-05-05","en"
"Aqua Properties","dubai","UAE","Dubai","Business Bay / JVC","https://aquaproperties.com","","","info@aquaproperties.com","","Management team","Managing Director","https://aquaproperties.com/contact-us","active brokerage, investor and owner leads, valuation speed","Pitch valuation plus investment intelligence.","contacted","2026-05-05","en"
"Union Square House","dubai","UAE","Dubai","Downtown Dubai / Business Bay","https://ushre.com","","","info@ushre.com","","Management team","Managing Director","https://ushre.com/contact-us/","large brokerage, active sales pipeline, website conversion","Good target for demo broker workflow.","contacted","2026-05-05","en"
"Patriot Real Estate","dubai","UAE","Dubai","Business Bay / JVC","https://patriot.ae","","","info@patriot.ae","","Management team","Managing Director","https://patriot.ae/contact-us","active Dubai listings, agent team, owner lead capture","Use simple WhatsApp-style opener only if public WhatsApp is confirmed.","contacted","2026-05-06","en"
"Bluechip Real Estate","dubai","UAE","Dubai","Barsha Heights / Dubai wide","https://www.bluechiphome.com","","","info@bluechiphome.com","","Management team","Managing Director","https://www.bluechiphome.com/contact/","large sales team, seller conversion, property valuation","Good high-volume agency target.","contacted","2026-05-06","en"
"Coldwell Banker UAE","dubai","UAE","Dubai","Dubai wide","https://www.coldwellbanker.ae","","","info@coldwellbanker.ae","","Management team","Agency management","https://www.coldwellbanker.ae/contact-us","franchise brokerage, valuation workflow, website lead capture","Enterprise and franchise angle.","contacted","2026-05-06","en"
"Berkshire Hathaway HomeServices Gulf Properties","dubai","UAE","Dubai","Dubai wide","https://www.berkshirehathawayhomeservicesgp.com","","","info@bhhsgp.com","","Management team","Agency management","https://www.berkshirehathawayhomeservicesgp.com/contact-us","premium brand, luxury owner leads, valuation trust","Use premium credibility and AI-assisted workflow.","contacted","2026-05-06","en"
"Engel and Voelkers Dubai","dubai","UAE","Dubai","Dubai wide / luxury","https://www.engelvoelkers.com/ae/en","","","dubai@engelvoelkers.com","","Management team","Agency management","https://www.engelvoelkers.com/ae/en/contact","luxury brokerage, international sellers, valuation confidence","Premium product story likely important.","contacted","2026-05-06","en"
"Luxhabitat Sotheby's International Realty","dubai","UAE","Dubai","Palm Jumeirah / Emirates Hills","https://www.luxhabitat.ae","","","info@luxhabitat.ae","","Management team","Agency management","https://www.luxhabitat.ae/enquiries/","luxury listings, high-value seller trust, premium digital experience","Use high-end deck and avoid mass-market language.","contacted","2026-05-06","en"
