company,instagram,profile_url,decision_maker,message,note
fäm Properties,@famproperties,https://www.instagram.com/famproperties/,Firas Al Msaddi (CEO),"Hi Firas Al Msaddi, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Banke International Properties,@bankeinternational,https://www.instagram.com/bankeinternational/,Porush Jhunjhunwala (Founder & CEO),"Hi Porush Jhunjhunwala, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Dubai Immo / Elysee Vendome Real Estate LLC,@dubai_immo,https://www.instagram.com/dubai_immo/,Guillaume Giroux (Founder),"Hi Guillaume Giroux, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
DRN Dubai Real Estate,@drndubai,https://www.instagram.com/drndubai/,Nicolas Debains (Founder),"Hi Nicolas Debains, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Provident Estate,@providentestate,https://www.instagram.com/providentestate/,Loai Al Fakir (Co-Founder) – verificar nombre,"Hi Loai Al Fakir, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Knight Frank Dubai,@knightfrankuae,https://www.instagram.com/knightfrankuae/,Andrew Cummings (Partner Head of Residential),"Hi Andrew Cummings, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Henry Wiltshire International,@henrywiltshire,https://www.instagram.com/henrywiltshire/,Andrew Covill (Owner & Director Abu Dhabi),"Hi Andrew Covill, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Dacha Real Estate,@dacharealestate,https://www.instagram.com/dacharealestate/,"Slava Shidlovskiy (top broker, finalista Bayut Awards 2023)","Hi Slava Shidlovskiy, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
DIA Real Estate (Dubai Invest Agency),@dia_realestate,https://www.instagram.com/dia_realestate/,"Amaury & Anass (co-founders, ~30-32 años)","Hi Amaury & Anass, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Jenna Estates,@jennaestates,https://www.instagram.com/jennaestates/,Founder (entrepreneur con ~13 años en Dubai – verificar nombre),"Hi Founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
FAME Estate,@fame.estate,https://www.instagram.com/fame.estate/,Vlad Blazhennov & Daria Blazhennova (co-founders),"Hi Vlad Blazhennov & Daria Blazhennova, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Prime Dubai (Prime LLC Departments),@prime.realestate,https://www.instagram.com/prime.realestate/,Fedor Solomatin (Founder),"Hi Fedor Solomatin, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
House & Hedges Real Estate,@houseandhedges,https://www.instagram.com/houseandhedges/,Mirza Nauman Baig (top broker Bayut Awards 2023),"Hi Mirza Nauman Baig, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Williams International Real Estate,@williamsinternational,https://www.instagram.com/williamsinternational/,Elliot Longworth (top broker Bayut Awards 2023),"Hi Elliot Longworth, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Strada Real Estate,@strada_dubai,https://www.instagram.com/strada_dubai/,Maria Varnava (top broker Bayut Awards 2023),"Hi Maria Varnava, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Peace Homes Real Estate,@peacehomes,https://www.instagram.com/peacehomes/,Mohammed Wehibi (top broker Bayut Awards 2023),"Hi Mohammed Wehibi, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Luxury Property LLC,@luxurypropertycom,https://www.instagram.com/luxurypropertycom/,Kerris Ware (top broker Bayut Awards 2023),"Hi Kerris Ware, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
H&S Real Estate,@hsrealestate,https://www.instagram.com/hsrealestate/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
La Riviera Real Estate,@larivierarealestate,https://www.instagram.com/larivierarealestate/,verificar founder (Marion citada como agente top),"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Madely Properties,@madelyproperties,https://www.instagram.com/madelyproperties/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Dubai Immobilier (HBS Real Estate),@dubaiimmobilier,https://www.instagram.com/dubaiimmobilier/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
KALINKA Middle East,@kalinka_realty,https://www.instagram.com/kalinka_realty/,verificar director Dubai office,"Hi verificar director Dubai office, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Elysian Real Estate,@elysian_dubai,https://www.instagram.com/elysian_dubai/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
IMEX Real Estate,@imex_re,https://www.instagram.com/imex_re/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Levante Real Estate,@levantere,https://www.instagram.com/levantere/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Aeon & Trisl Real Estate,@aeontrisl,https://www.instagram.com/aeontrisl/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Christie's International Real Estate Dubai,@christiesrealestate,https://www.instagram.com/christiesrealestate/,verificar Dubai partner,"Hi verificar Dubai partner, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
Foxhills Real Estate,@foxhills_dxb,https://www.instagram.com/foxhills_dxb/,verificar founder,"Hi verificar founder, Francisco from FonatProp. Quick idea for your Dubai seller leads: AI-assisted valuation + a premium website widget that captures owner details before visitors leave. Worth a 15-min Zoom?",Manual DM only unless using approved Meta tooling.
