company,market,area,email,score,priority,source_url,pain_signal,notes
HOUSINOVA REAL ESTATE L.L.C,dubai,Al Marjan Island; Business Bay; Dubai Design District,kasim.khokhar@housinova.com,57,medium,https://www.propertyfinder.ae/en/broker/housinova-real-estate-l-l-c-11200,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 1. Active properties proxy: 102. Languages: English; Punjabi; Urdu. Recommended channel: email + manual WhatsApp.
SISU REAL ESTATE L.L.C,dubai,Arabian Ranches 3; Downtown Dubai; Dubai Harbour; Dubai Hills Estate; Dubai Land; Dubai South (Dubai World Central); The World Islands,omar@sisudubai.com,57,medium,https://www.propertyfinder.ae/en/broker/sisu-real-estate-l-l-c-7627,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 5. Active properties proxy: 81. Languages: Arabic; English; French. Recommended channel: email + manual WhatsApp.
VLAKAR REAL ESTATE L.L.C,dubai,Downtown Dubai; Jumeirah; Mohammed Bin Rashid City; Palm Jebel Ali,kabueicha@vlakar.ae,57,medium,https://www.propertyfinder.ae/en/broker/vlakar-real-estate-l-l-c-8559,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 2. Active properties proxy: 92. Languages: Arabic; English; French; Italian. Recommended channel: email + manual WhatsApp.
XO Property,dubai,Al Furjan; Dubai Harbour; Jumeirah Lake Towers; Jumeirah Park; Jumeirah Village Triangle; Mohammed Bin Rashid City; Mudon; Palm Jumeirah; Tilal Al Ghaf; Zabeel,rosie.styles@xoproperty.ae,57,medium,https://www.propertyfinder.ae/en/broker/xo-property-5341,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 4. Active properties proxy: 78. Languages: English; Serbian. Recommended channel: email + manual WhatsApp.
Nexus Properties,dubai,Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Jumeirah Islands; Meydan; Motor City; Palm Jumeirah,maher@nexuspoint.ae,57,medium,https://www.propertyfinder.ae/en/broker/nexus-properties-4324,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 3. Active properties proxy: 84. Languages: Arabic; English; French; Russian. Recommended channel: email + manual WhatsApp.
Croswell Real Estate,dubai,Al Furjan; Arabian Ranches 3; Business Bay; Damac Lagoons; Motor City; Tilal Al Ghaf; Town Square,justin@croswell.ae,57,medium,https://www.propertyfinder.ae/en/broker/croswell-real-estate-9681,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 4. Active properties proxy: 78. Languages: Arabic; English; Italian; Russian. Recommended channel: email + manual WhatsApp.
Ray Wood Properties,dubai,Arabian Ranches 3; Dubai Land; Jumeirah; Mudon; Reem,sonika@raywoodproperties.com,57,medium,https://www.propertyfinder.ae/en/broker/ray-wood-properties-3585,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 2. Active properties proxy: 89. Languages: English; Hindi. Recommended channel: email + manual WhatsApp.
BENCO REAL ESTATE L.L.C,dubai,Business Bay; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Dubai Sports City; Jumeirah Village Circle; Mohammed Bin Rashid City; Palm Jumeirah,ben@benandcore.com,57,medium,https://www.propertyfinder.ae/en/broker/benco-real-estate-l-l-c-6469,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 3. Active properties proxy: 82. Languages: Arabic; English; Latvian; Persian/Farsi; Russian. Recommended channel: email + manual WhatsApp.
Dubai Sotheby's International Realty,dubai,Al Barari; Al Jaddaf; Business Bay; Downtown Dubai; Dubai Creek Harbour (The Lagoons); Dubai Hills Estate; Emirates Hills; Jumeirah; Jumeirah Islands; Mohammed Bin Rashid City; Palm Jumeirah,hdpf@sothebysrealty.ae,57,medium,https://www.propertyfinder.ae/en/broker/dubai-sothebys-international-realty-1245,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 7. Active properties proxy: 56. Languages: Arabic; Dutch; English; French; German; Japanese; Persian/Farsi; Russian. Recommended channel: email + manual WhatsApp.
ASSET HOMEZ INTERNATIONAL PROPERTIES L.L.C,dubai,Business Bay; Dubai Marina; Sheikh Zayed Road; Zabeel,hamza@assethomez.com,57,medium,https://www.propertyfinder.ae/en/broker/asset-homez-international-properties-l-l-c-4811,"active listings, broker valuation consistency, seller lead capture",Property Finder harvest. Agents seen: 2. Active properties proxy: 84. Languages: English; Hindi; Malayalam; Tamil; Urdu. Recommended channel: email + manual WhatsApp.
